Polish,English,Link
nie,NO,https://translate.google.com/translate_tts?ie=UTF-8&q=nie&tl=pl&client=tw-ob
to,this,https://translate.google.com/translate_tts?ie=UTF-8&q=to&tl=pl&client=tw-ob
się,myself,https://translate.google.com/translate_tts?ie=UTF-8&q=się&tl=pl&client=tw-ob
w,In,https://translate.google.com/translate_tts?ie=UTF-8&q=w&tl=pl&client=tw-ob
na,on,https://translate.google.com/translate_tts?ie=UTF-8&q=na&tl=pl&client=tw-ob
i,and,https://translate.google.com/translate_tts?ie=UTF-8&q=i&tl=pl&client=tw-ob
że,That,https://translate.google.com/translate_tts?ie=UTF-8&q=że&tl=pl&client=tw-ob
z,With,https://translate.google.com/translate_tts?ie=UTF-8&q=z&tl=pl&client=tw-ob
co,What,https://translate.google.com/translate_tts?ie=UTF-8&q=co&tl=pl&client=tw-ob
jest,Is,https://translate.google.com/translate_tts?ie=UTF-8&q=jest&tl=pl&client=tw-ob
do,down,https://translate.google.com/translate_tts?ie=UTF-8&q=do&tl=pl&client=tw-ob
tak,Yes,https://translate.google.com/translate_tts?ie=UTF-8&q=tak&tl=pl&client=tw-ob
o,about,https://translate.google.com/translate_tts?ie=UTF-8&q=o&tl=pl&client=tw-ob
jak,How,https://translate.google.com/translate_tts?ie=UTF-8&q=jak&tl=pl&client=tw-ob
ale,But,https://translate.google.com/translate_tts?ie=UTF-8&q=ale&tl=pl&client=tw-ob
a,and,https://translate.google.com/translate_tts?ie=UTF-8&q=a&tl=pl&client=tw-ob
mnie,me,https://translate.google.com/translate_tts?ie=UTF-8&q=mnie&tl=pl&client=tw-ob
mi,to me,https://translate.google.com/translate_tts?ie=UTF-8&q=mi&tl=pl&client=tw-ob
za,behind,https://translate.google.com/translate_tts?ie=UTF-8&q=za&tl=pl&client=tw-ob
ja,I,https://translate.google.com/translate_tts?ie=UTF-8&q=ja&tl=pl&client=tw-ob
tym,this,https://translate.google.com/translate_tts?ie=UTF-8&q=tym&tl=pl&client=tw-ob
tego,this,https://translate.google.com/translate_tts?ie=UTF-8&q=tego&tl=pl&client=tw-ob
go,him,https://translate.google.com/translate_tts?ie=UTF-8&q=go&tl=pl&client=tw-ob
ci,these,https://translate.google.com/translate_tts?ie=UTF-8&q=ci&tl=pl&client=tw-ob
po,after,https://translate.google.com/translate_tts?ie=UTF-8&q=po&tl=pl&client=tw-ob
tylko,Just,https://translate.google.com/translate_tts?ie=UTF-8&q=tylko&tl=pl&client=tw-ob
czy,Whether,https://translate.google.com/translate_tts?ie=UTF-8&q=czy&tl=pl&client=tw-ob
tu,here,https://translate.google.com/translate_tts?ie=UTF-8&q=tu&tl=pl&client=tw-ob
może,Maybe,https://translate.google.com/translate_tts?ie=UTF-8&q=może&tl=pl&client=tw-ob
jestem,I am,https://translate.google.com/translate_tts?ie=UTF-8&q=jestem&tl=pl&client=tw-ob
ma,has,https://translate.google.com/translate_tts?ie=UTF-8&q=ma&tl=pl&client=tw-ob
ty,you,https://translate.google.com/translate_tts?ie=UTF-8&q=ty&tl=pl&client=tw-ob
cię,you,https://translate.google.com/translate_tts?ie=UTF-8&q=cię&tl=pl&client=tw-ob
mam,I have,https://translate.google.com/translate_tts?ie=UTF-8&q=mam&tl=pl&client=tw-ob
jesteś,You are,https://translate.google.com/translate_tts?ie=UTF-8&q=jesteś&tl=pl&client=tw-ob
już,Already,https://translate.google.com/translate_tts?ie=UTF-8&q=już&tl=pl&client=tw-ob
jeśli,If,https://translate.google.com/translate_tts?ie=UTF-8&q=jeśli&tl=pl&client=tw-ob
dla,For,https://translate.google.com/translate_tts?ie=UTF-8&q=dla&tl=pl&client=tw-ob
wiem,I know,https://translate.google.com/translate_tts?ie=UTF-8&q=wiem&tl=pl&client=tw-ob
coś,something,https://translate.google.com/translate_tts?ie=UTF-8&q=coś&tl=pl&client=tw-ob
dobrze,All right,https://translate.google.com/translate_tts?ie=UTF-8&q=dobrze&tl=pl&client=tw-ob
więc,So,https://translate.google.com/translate_tts?ie=UTF-8&q=więc&tl=pl&client=tw-ob
od,From,https://translate.google.com/translate_tts?ie=UTF-8&q=od&tl=pl&client=tw-ob
teraz,Now,https://translate.google.com/translate_tts?ie=UTF-8&q=teraz&tl=pl&client=tw-ob
pan,Mr,https://translate.google.com/translate_tts?ie=UTF-8&q=pan&tl=pl&client=tw-ob
wszystko,All,https://translate.google.com/translate_tts?ie=UTF-8&q=wszystko&tl=pl&client=tw-ob
być,to be,https://translate.google.com/translate_tts?ie=UTF-8&q=być&tl=pl&client=tw-ob
będzie,will be,https://translate.google.com/translate_tts?ie=UTF-8&q=będzie&tl=pl&client=tw-ob
masz,You have,https://translate.google.com/translate_tts?ie=UTF-8&q=masz&tl=pl&client=tw-ob
nic,nothing,https://translate.google.com/translate_tts?ie=UTF-8&q=nic&tl=pl&client=tw-ob
tam,over there,https://translate.google.com/translate_tts?ie=UTF-8&q=tam&tl=pl&client=tw-ob
mogę,I can,https://translate.google.com/translate_tts?ie=UTF-8&q=mogę&tl=pl&client=tw-ob
proszę,Please,https://translate.google.com/translate_tts?ie=UTF-8&q=proszę&tl=pl&client=tw-ob
jej,her,https://translate.google.com/translate_tts?ie=UTF-8&q=jej&tl=pl&client=tw-ob
są,are,https://translate.google.com/translate_tts?ie=UTF-8&q=są&tl=pl&client=tw-ob
gdzie,Where,https://translate.google.com/translate_tts?ie=UTF-8&q=gdzie&tl=pl&client=tw-ob
kiedy,When,https://translate.google.com/translate_tts?ie=UTF-8&q=kiedy&tl=pl&client=tw-ob
ten,this,https://translate.google.com/translate_tts?ie=UTF-8&q=ten&tl=pl&client=tw-ob
on,he,https://translate.google.com/translate_tts?ie=UTF-8&q=on&tl=pl&client=tw-ob
ciebie,you,https://translate.google.com/translate_tts?ie=UTF-8&q=ciebie&tl=pl&client=tw-ob
by,that,https://translate.google.com/translate_tts?ie=UTF-8&q=by&tl=pl&client=tw-ob
sobie,herself,https://translate.google.com/translate_tts?ie=UTF-8&q=sobie&tl=pl&client=tw-ob
ze,That,https://translate.google.com/translate_tts?ie=UTF-8&q=ze&tl=pl&client=tw-ob
był,was,https://translate.google.com/translate_tts?ie=UTF-8&q=był&tl=pl&client=tw-ob
wiesz,You know,https://translate.google.com/translate_tts?ie=UTF-8&q=wiesz&tl=pl&client=tw-ob
bardzo,Very,https://translate.google.com/translate_tts?ie=UTF-8&q=bardzo&tl=pl&client=tw-ob
było,was,https://translate.google.com/translate_tts?ie=UTF-8&q=było&tl=pl&client=tw-ob
przez,By,https://translate.google.com/translate_tts?ie=UTF-8&q=przez&tl=pl&client=tw-ob
jego,his,https://translate.google.com/translate_tts?ie=UTF-8&q=jego&tl=pl&client=tw-ob
ją,I,https://translate.google.com/translate_tts?ie=UTF-8&q=ją&tl=pl&client=tw-ob
chcę,I want,https://translate.google.com/translate_tts?ie=UTF-8&q=chcę&tl=pl&client=tw-ob
dlaczego,Why,https://translate.google.com/translate_tts?ie=UTF-8&q=dlaczego&tl=pl&client=tw-ob
